,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
91,"Workout of the Day; A.; Four sets of:; Front Squat x 6-8 reps @ 3011; Rest 60 seconds; Strict Pull-Ups x 6-8 reps @ 2111; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; In teams of two, alternate every 20 calories, and Row for as many calories as possible in 10 minutes"
92,"Workout of the Day; In teams of three, alternate to complete as many rounds and reps as possible in 20 minutes of:; 10 Goblet Carry Alternating Reverse Lunges; 10 Burpees; Each team will get three stations ? one work, and two rest. While Teammate A is completing the couplet, Teammate B is resting in the plank position, and Teammate C is resting from the hang position on a pull-up bar. When Teammate A completes their burpees, they tag out Teammates B&C and take Teammate C?s spot on the pull-up bar."
93,"Workout of the Day; A.; Four sets of:; Turkish Get-Up x 2 reps each arm; Rest 45 seconds; Strict Pull-Ups x 6-8 reps @ 2110; Rest 45 seconds; Kettlebell Swing x 15-20 reps; Rest 45 seconds; B.; In teams of two, with partners alternating complete rounds, complete 7 rounds each of:; Dumbbell Man-Makers x 5 reps; (push-up, row left, row right, power clean, push press"
94,"Workout of the Day; A.; Four sets of:; Romanian Deadlift x 6-8 reps @ 30X1; Rest 45 seconds; Single Arm Dumbbell Press x 8-10 reps each arm; Rest 45 seconds; Hollow Body Hold x 45-60 seconds; Rest 45 seconds; B.; Complete as many reps as possible in 5 minutes of:; Dumbbell Man-Makers; (push-up, row left, row right, power clean, push press"
95,Workout of the Day; Complete as many rounds and reps as possible in 7 minutes of:; Row 250 Meters; 10 Thrusters; Rest 7 minutes; Complete as many rounds and reps as possible in 7 minutes of:; 20 Jumping Lunges; 20/15 Hand-Release Push-Ups; Rest 7 minutes; Complete as many rounds and reps as possible in 7 minutes of:; 20 Box Jumps; 10 Push Press
96,"Workout of the Day; A.; Three sets of:; Goblet Squat x 8-12 reps @ 21X0; Rest 45 seconds; Single-Arm Kettlebell Row x 8-10 reps each arm @ 2010; Rest 45 seconds; Kettlebell Swings x 15-20 reps; Rest 45 seconds; Push-Ups x 10-15 reps @ 2010; Rest 45 seconds; B.; Against a 2-minute running clock, perform the following:; Row 250 Meters; Max Reps of Air Squats; Rest 2 minutes between sets, and complete a total of four sets"
97,Workout of the Day; A.; Four sets of:; Good Mornings x 8-10 reps @ 3011; Rest 45 seconds; Supine Ring Rows x 10-12 reps @ 2111; Rest 45 seconds; Plank from Elbows x 45 seconds; Rest 45 seconds; B.; For time:; Dumbbell Ground to Overhead x 12 reps; Box Jumps x 12 reps; Dumbbell Ground to Overhead x 9 reps; Box Jumps x 9 reps; Dumbbell Ground to Overhead x 6 reps; Box Jumps x 6 reps; Run 600 Meters
98,"Workout of the Day; A.; Every minute, on the minute, for 20 minutes (4 sets of each):; Minute 1 ? Deadlift x 6-8 reps @ 30X1; Minute 2 ? L-Seated DB Press x 6-8 reps @ 20X1; Minute 3 ? Russian Step-Ups x 10 reps on Left Leg; Minute 4 ? Russian Step-Ups x 10 reps on Right Leg; Minute 5 ? Supine Leg Lowering x 6-8 reps @ 5010; B.; Three rounds for time of:; Row 300 Meters; 20 Kettlebell Swings; 10 Goblet Squats; Use the same kettlebell for both movements"
99,"Workout of the Day; In teams of two, with only one person working at a time, complete the following:; 200 Wall Ball Shots; 600 Meter Overhead Carry (45/25 lb plate); 200 Push-Ups; 600 Meter Overhead Carry (45/25 lb plate); During carry, you must perform 3 burpees* each every time you switch the partner carrying the load.; *Burpees may be completed inside the gym at the end of each lap around the block"
100,Workout of the Day; A.; Three sets of:; Bench Press x 8-10 reps @ 20X1; Rest 60 seconds; Kettlebell Swings x 20-25 reps; Rest 60 seconds; Hollow Body Hold x 45-60 seconds; Rest 60 seconds; B.; For time:; Row 500 Meters; immediately followed by?; Three rounds of:; 15 Push-Ups; 10 Box Jump-Overs; immediately followed by?; Run 600 Meters
101,"Workout of the Day; In teams of four, complete as many reps as possible of the following circuit in 30 minutes:; 400 Meter Run; Box Jump Overs; Burpee Pull-Ups; Wall Climbs; Each team member will start on a different station and may not rotate to the next station until their running teammate returns"
102,Workout of the Day; A.; Four sets of:; Deadlift x 4-6 reps @ 20X1; Rest 45 seconds; Single-Arm Dumbbell Strict Press x 6-8 reps each arm; Rest 45 seconds; Dumbbell Alternating Reverse Lunges x 10 reps each leg; Rest 45 seconds; B.; Three rounds for time of:; 20 Calories of Assault Bike (or 400 Meter Run); 20 Russian Kettlebell Swings; 10 Strict Handstand Push-Ups or L-Seated Dumbbell Presses; Time cap: 12 minutes
103,"Five sets of:; Against a three minute running clock, complete:; 300 Meter Run; Double-Unders x Max Reps; (If you don?t have double-unders quite yet, perform singles or lateral jumps over a parallette"
104,10 Rounds; 20 Cal. Row; 200m Run
105,3 RFT:; 20 Burpees; 20 Pull-ups; 20 SDLHP @95/65/45
106,"8 Minute Clock; Perform 6 Rounds of:; 12 Kettlebell Swings 53/35; 12 Abmat Situps; In the remaining time,; Row MAX Calories; *Score = Calories Rowed"
107,"15 min AMRAP: Barbell complex alternating each set between partners.; Super Hero, 225/155 lb.; Hero 185/125 lb.; RX 135/95 lb."
108,"WORKOUT 12.3; MEN - includes Masters Men up to 54 years old; Complete as many rounds and reps as possible in 18 minutes of:; 15 Box jumps, 24"" box; 115 pound Push press, 12 reps; 9 Toes-to-bar; WOMEN - includes Masters Women up to 54 years old; Complete as many rounds and reps as possible in 18 minutes of:; 15 Box jumps, 20"" box; 75 pound Push press, 12 reps; 9 Toes-to-bar"
109,"WORKOUT 13.1; MEN - includes Masters Men up to 54 years old; Proceed through the sequence below completing as many reps as possible in 17 minutes of:; 40 Burpees; 75 pound Snatch, 30 reps; 30 Burpees; 135 pound Snatch, 30 reps; 20 Burpees; 165 pound Snatch, 30 reps; 10 burpees; 210 pound Snatch, as many reps as possible; WOMEN - includes Masters Women up to 54 years old; Proceed through the sequence below completing as many reps as possible in 17 minutes of:; 40 Burpees; 45 pound Snatch, 30 reps; 30 Burpees; 75 pound Snatch, 30 reps; 20 Burpees; 100 pound Snatch, 30 reps; 10 burpees; 120 pound Snatch, as many reps as possible"
110,WORKOUT 15.1; Complete as many rounds and reps as possible in 9 minutes of:; 15 toes-to-bars; 10 deadlifts (115 / 75 lb.); 5 snatches (115 / 75 lb.); WORKOUT 15.1a; 1-rep-max clean and jerk; 6-minute time cap
111,WORKOUT 15.5; 27-21-15-9 reps for time of:; Row (calories); Thrusters; Men use 95 lb.; Women use 65 lb.
112,10 Push-ups; 100m dash ?; 10 rounds.
113,5x 400m Sprints.
114,"100 air squats. Then,; 4x; 25 Jumping squats. Rest; 30 sec between rounds."
115,10 Sit ups and 10 burpees ? 10 rounds.
116,"100 Jumping jacks, 75 air squats, 50 push ups, 25 burpees."
117,"10 Push-ups, 10 hollow rocks, run 200 meters ? 5 rounds."
118,"20 Jumping jacks, 20 burpees, 20 air squats ? 3 rounds"
119,Karen; Wall-ball 150 shots; For time
120,Linda; (aka ?3 bars of death?); Deadlift 1 1/2 BW; Bench BW; Clean 3/4 BW; 10/9/8/7/6/5/4/3/2/1 rep; rounds for time
121,"Eva; Run 800 meters; 2 pood KB swing, 30 reps; 30 pullups; 5 rounds for time."
122,Sprint 100 meters; Rest 1 minute; Repeat 10 times
123,100 Single Unders (Jump Rope); 50 Squats; 5 rounds for time
124,10 rounds of; ? 10 burpees; ? 10 situps
125,200 air squats for time
126,?Susan?; 5 rounds for time; ? Run 200m; ? 10 squats; ? 10 push-ups
127,5 Rounds for Time; ? 3 vertical jumps; ? 3 squats; ? 3 long jumps
128,10-9-8-7-6-5-4-3-2-1; ? Burpees; ? Sit ups.
129,250 jumping jacks For Time
130,5 Rounds ? Count Squats; ? Run 1 minute; ? Squat for 1 minute
131,7 Rounds for Time; ? 7 Squats; ? 7 Burpees
132,10 Rounds for Time; ? Sprint 100m; ? Walk 100m
133,3 Rounds for Time; ? 50 sit-ups; ? 400m run walk
134,10 Rounds for Time; ? 10 walking lunges; ? 10 push-ups
135,"5 Rounds for Time; -30 second handstand against a wall,; ? followed by a 30 second static hold at the bottom of the squat"
136,25 reps for time; ? Handstand 10 seconds jack-knife to vertical jump
137,10 rounds; ? 30 second squat jump; ? 30 second rest
138,For Time; Run 1 mile with 100 air squats at midpoint
139,10 Rounds for Time; ? 10 sit ups; ? 10 burpees
140,"5 Rounds for Time; ? With eyes closed do 10 squats, open eyes..; ? Do 10 push ups eyes closed"
141,10 Rounds for Time; ? Run 100m; ? 20 squats
142,3 Rounds for Time; ? 20 Squats; ? 20 Burpees; ? 20 Push-Ups
143,4 Rounds for Time; ? 50 squats; Rest for 2 minutes between rounds.
144,Run 20 minutes stop every 2 minutes and do 10 squats and 10 pushups
145,Run 5 minutes turn around and go back in less than 5 minutes
146,5 Rounds for Time; ? 30 Push-ups; ? 40 Sit-ups; ? 50 Squats
147,Max Rounds in 20 minutes; ? 5 Pushups; ? 10 Situps; ? 15 Squats
148,21-15-9 Rep Rounds for Time; ? Lunges (each leg); ? Handstand Push-ups
149,3 Rounds for Time; ? Run 400 meters (or any sprint distance ? 1:30-2:30 min long); ? 50 squats; ? 25 pushups
150,1 Round for Time; ? 21 Pushups; ? 42 Squats; ? 15 Pushups; ? 30 Squats; ? 9 Pushups; -18 Squats
151,50-35-15; ? Leg lifts; ? Pushups; ? Situps
152,For Time; ? 30 HSPU; ? 40 Jump squats; ? 50 Situps; ? 60 Squats; ? 70 Double unders
153,"Hero WOD: Arnie; WOD Type: For Time; With a single 2 pood kettlebell (approximately 70 pounds); 21 turkish get-ups, right arm; 50 swings; 21 overhead squats, left arm; 50 swings; 21 overhead squats, right arm; 50 swings; 21 turkish get-ups, left arm"
154,Hero WOD: Badger; WOD Type: For Time; 3 rounds; 30 reps of squat cleans (95 pounds); 30 pull-ups; Run 800 meters
155,Hero WOD: Brian; WOD Type: For Time; 3 rounds; 5 15-foot rope climbs; 25 reps of back squats (185 pounds)
156,Hero WOD: Bulger; WOD Type: For Time; 10 rounds; Run 150 meters; 7 chest to bar pull-ups; 7 front squats (135 pounds); 7 handstand push-ups
157,Hero WOD: Cameron; WOD Type: For Time; 50 walking lunge steps; 25 chest to bar pull-ups; 50 box jumps (24 inch box); 25 triple-unders; 50 back extensions; 25 ring dips; 50 knees to elbows; 25 wallball ?2-fer-1s? (20 pound ball); 50 sit-ups; 5 15-foot rope climbs
158,Hero WOD: Capoot; WOD Type: For Time; 100 push-ups; Run 800 meters; 75 push-ups; Run 1200 meters; 50 push-ups; Run 1600 meters; 25 push-ups; Run 2000 meters
159,Hero WOD: Carse; WOD Type: For Time; 21-18-15-12-9-6-3; 95 pound squat clean; Double-unders; 185 pound deadlifts; 24 inch box jump; Begin each round with a 50-meter bear crawl
160,Hero WOD: Coffey; WOD Type: For Time; Run 800 meters; 50 back squats (135 pounds); 50 bench presses (135 pounds); Run 800 meters; 35 back squats (135 pounds); 35 bench presses (135 pounds); Run 800 meters; 20 back squats (135 pounds); 20 bench presses (135 pounds); Run 800 meters; 1 muscle-up
161,Hero WOD: Daniel; WOD Type: For Time; 50 pull-ups; 400 meter run; 21 thrusters (95 pounds); 800 meter run; 21 thrusters (95 pounds); 400 meter run; 50 pull-ups
162,Hero WOD: Del; WOD Type: For Time; 25 burpees; Run 400 meters with a 20-pound medicine ball; 25 weighted pull-ups with a 20-pound dumbbell; Run 400 meters with a 20-pound medicine ball; 25 handstand push-ups; Run 400 meters with a 20-pound medicine ball; 25 chest-to-bar pull-ups; Run 400 meters with a 20-pound medicine ball; 25 burpees
163,Hero WOD: Garrett; WOD Type: For Time; 3 rounds; 75 squats; 25 ring handstand push-ups; 25 L-pull-ups
164,"Hero WOD: Gaza; WOD Type: For Time; 5 rounds; 35 kettlebell swings, 1.5 pood; 30 push-ups; 25 pull-ups; 20 box jumps, 30-inch box; 1-mile run"
165,Hero WOD: Griff; WOD Type: For Time; Run 800 meters; Run 400 meters backwards; Run 800 meters; Run 400 meters backwards
166,"Hero WOD: Hall; WOD Type: For Time; 5 rounds; 3 cleans (225 pounds); 200 meter sprint; 20 kettlebell snatches, 1.5 pood, 10 each arm; Rest 2 minutes"
167,Hero WOD: Hammer; WOD Type: For Time; 5 rounds; 5 power cleans (135 pounds); 10 front squats (135 pounds); 5 jerks (135 pounds); 20 pull-ups; Rest 90 seconds
168,"Hero WOD: Hidalgo; WOD Type: For Time; Run 2 miles; Rest 2 minutes; 20 squat cleans (135 pounds); 20 box jumps (24 inch box); 20 walking lunges with 45-pound plate held overhead; 20 box jumps (24 inch box); 20 squat cleans (135 pounds); Rest 2 minutes; Run 2 miles; If you?ve got a twenty pound vest or body armor, wear it."
169,Hero WOD: Horton; WOD Type: For Time; 9 rounds; 9 bar muscle-ups; 11 clean and jerks (155 pounds); 50-yard buddy carry
170,Hero WOD: J.J.; WOD Type: For Time; 1 squat cleans (185 pounds); 10 parallette handstand push-ups; 2 squat cleans (185 pounds); 9 parallette handstand push-ups; 3 squat cleans (185 pounds); 8 parallette handstand push-ups; 4 squat cleans (185 pounds); 7 parallette handstand push-ups; 5 squat cleans (185 pounds); 6 parallette handstand push-ups; 6 squat cleans (185 pounds); 5 parallette handstand push-ups; 7 squat cleans (185 pounds); 4 parallette handstand push-ups; 8 squat cleans (185 pounds); 3 parallette handstand push-ups; 9 squat cleans (185 pounds); 2 parallette handstand push-ups; 10 squat cleans (185 pounds); 1 parallette handstand push-up
171,Hero WOD: Josh; WOD Type: For Time; 21 overhead squats (95 pounds); 42 pull ups; 15 overhead squats (95 pounds); 30 pull ups; 9 overhead squats (95 pounds); 18 pull ups
172,Hero WOD: Klepto; WOD Type: For Time; 4 rounds; 27 box jumps (24 inch box); 20 burpees; 11 squat cleans (145 pounds)
173,Hero WOD: Kutschbach; WOD Type: For Time; 7 rounds; 11 back squats (185 pounds); 10 jerks (135 pounds)
174,"Hero WOD: Luce; WOD Type: For Time; Wearing a 20 pound vest, 3 rounds; 1K run; 10 muscle-ups; 100 squats"
175,Hero WOD: McCluskey; WOD Type: For Time; 3 rounds; 9 muscle-ups; 15 burpee pull-ups; 21 pull-ups; Run 800 meters
176,Hero WOD: McGhee; WOD Type: AMRAP; 30 minutes; 5 deadlifts (275 pounds); 13 push-ups; 9 box jumps (24 inch box)
177,Hero WOD: Michael; WOD Type: For Time; 3 rounds; Run 800 meters; 50 back extensions; 50 sit-ups
178,Hero WOD: Mr. Joshua; WOD Type: For Time; 5 rounds; Run 400 meters; 30 GHDs; 15 deadlifts (250 pounds)
179,Hero WOD: Nick; WOD Type: For Time; 12 rounds; 10 dumbbell hang squat cleans (45 pounds); 6 handstand push-ups on dumbbells
180,Hero WOD: Pheezy; WOD Type: For Time; 3 rounds; 5 front squats (165 pounds); 18 pull-ups; 5 deadlifts (225 pounds); 18 toes-to-bar; 5 push jerks (165 pounds); 18 hand-release push-ups
181,Hero WOD: Ralph; WOD Type: For Time; 4 rounds; 8 deadlifts (250 pounds); 16 burpees; 3 15-foot rope climbs; Run 600 meters
182,Hero WOD: Rocket; WOD Type: AMRAP; 30 minutes; 50-yard swim; 10 push-ups; 15 squats
183,Hero WOD: Santiago; WOD Type: For Time; 7 rounds; 18 dumbbell hang squat cleans (35 pounds); 18 pull-ups; 10 power cleans (135 pounds); 10 handstand push-ups
184,"Hero WOD: Santora; WOD Type: For Time; 3 rounds; 155 pound squat cleans, 1 minute; 20-foot shuttle sprints (20 feet forward + 20 feet backwards = 1 rep), 1 minute; 245 pound deadlifts, 1 minute; Burpees, 1 minute; 155 pound jerks, 1 minute; Rest 1 minute"
185,"Hero WOD: Spehar; WOD Type: For Time; 100 thrusters (135 pounds); 100 chest-to-bar pull-ups; Run 6 miles; Partition the thrusters, pull-ups and run as needed."
186,Hero WOD: The Seven; WOD Type: For Time; 7 rounds; 7 handstand push-ups; 7 thrusters (135 pounds); 7 knees to elbows; 7 deadlifts (245 pounds); 7 burpees; 7 kettlebell swings (2 pood); 7 pull-ups
187,Hero WOD: War Frank; WOD Type: For Time; 3 rounds; 25 muscle-ups; 100 squats; 35 GHD situps
188,Hero WOD: Whitten; WOD Type: For Time; 5 rounds; 22 kettlebell swings (2 pood); 22 box jumps (24 inch box); Run 400 meters; 22 burpees; 22 wall balls (20 pound ball)
189,Hero WOD: Woehlke; WOD Type: For Time; 3 rounds; 4 jerks (185 pounds); 5 front squats (185 pounds); 6 power cleans (185 pounds); 40 pull-ups; 50 push-ups; 60 sit-ups
190,Hero WOD: Wood; WOD Type: For Time; 5 rounds; Run 400 meters; 10 burpee box jumps (24 inch box); 10 sumo-deadlift high-pulls (95 pounds); 10 thrusters (95 pounds); Rest 1 minute
191,Hero WOD: Zembiec; WOD Type: For Time; 5 rounds; 11 back squats (185 pounds); 7 strict burpee pull-ups; 400-meter run
192,For Time:; 100 Double Unders; 50 Cal. Row; 25 DB Step Ups (50?s/35?s)
193,Metcon (AMRAP ? Rounds and Reps); 8 min Ladder; 1-2-3-4-5-6-7-8-9-10. . . . . .; Bar Facing Burpees; * Complete 2 Power Snatch (185/115) after each round of Bar Facing Burpees *
194,Metcon (AMRAP ? Rounds and Reps); 8 min AMRAP; 10 HSPU; 10 Box Jump Overs (24/20); ?Rest 2 mins?; Metcon (AMRAP ? Rounds and Reps); 8 min AMRAP; 10 Calorie Row; 15 GHD Situps; ?Rest 2 mins?; Metcon (AMRAP ? Rounds and Reps); 8 min AMRAP; 8 Chest to Bar Pull ups; 24 Double Unders
195,? The Malone ?; For Time: (SPRINT!!!!!); 500m Ski Erg; 30 Cal. Assualt Bike; 500m Row; * Regular Airdyne = 50 Calories *
196,Metcon (No Measure); ? Tabata ?; 20 Secs Hollow Rock Hold; 10 Secs Superman Hold; 8 rds
197,Squat Clean Thruster (Every min (10 mins) 5 reps (135/95)); 2k Row (Time); Max Effort 2k Row
198,Metcon (AMRAP ? Rounds and Reps); 12 min AMRAP; 300m Row; 15 Bench Press (135/95); Rest 3 minutes; Metcon (Time); For Time:; 50 Burpees over Rower; 25 Muscle Ups
199,Metcon (Time); For Time:; 108-84-60-36; Double Unders; 27-21-15-9; Strict HSPU; (10 min Time Cap)
200,"Pheezy (Time); 3 Rounds for time of:; 5 Front Squats, 165#; 18 Pull-ups; 5 Deadlifts, 225#; 18 Toes-To-Bar; 5 Push Jerks, 165#; 18 Hand Release Push-ups; In honor of U.S. Marine Corps Lance Corporal Philip P. Clark, 19, of Gainesville, Florida, died on May 18, 2010; To learn more about Pheezy click here"
201,Metcon (AMRAP ? Rounds); Every Min (10mins); Cal. Row (15/12); Rest 2 mins; Metcon (AMRAP ? Rounds); Every Min (10mins); 10 Thrusters (95/65)
202,Metcon (Time); 4 rounds:; 20 Alt. Dumbbell Snatches (60/35); 20 Burpees
203,Metcon (AMRAP ? Reps); 10 Minutes; Assault Bike Calories :30 On/:30 Off; Rest 2 mins; Metcon (AMRAP ? Rounds and Reps); 8 Minute AMRAP; 10 Toes To Bar; 20 Hip Extensions; 40 Double Unders
